1000 1000
u 608 948
q 232 935
q 295 893
m 948 38
u 834 395
u 957 607
u 621 42
q 677 51
m 267 280
m 626 923
q 679 278
u 851 319
q 981 660
q 655 652
m 426 19
m 493 581
m 506 611
q 676 56
m 830 430
q 786 565
m 353 971
u 344 336
q 794 104
q 921 136
q 652 805
m 71 366
u 203 918
q 238 829
m 324 540
u 363 467
m 436 254
q 581 220
u 94 965
m 589 349
u 440 118
m 445 649
u 174 725
q 929 415
m 380 707
u 380 713
u 137 81
u 692 203
m 360 883
q 561 905
q 521 301
m 691 602
m 596 319
u 819 732
u 993 603
q 289 260
u 768 457
m 909 307
m 39 86
q 572 66
u 836 118
u 451 192
u 473 987
u 300 816
q 263 112
u 733 595
q 784 237
m 178 424
m 347 827
m 70 87
u 681 395
m 321 433
m 686 121
u 889 285
q 90 343
m 244 318
q 84 828
q 879 142
m 352 301
q 28 315
m 233 424
u 72 103
m 431 53
m 299 930
q 459 675
q 317 933
u 506 565
q 618 859
u 621 851
m 232 265
u 386 487
u 44 1
u 814 106
u 320 477
u 436 476
u 933 537
m 712 312
m 995 260
u 787 467
q 91 581
u 702 381
u 289 721
q 516 201
m 455 879
q 853 521
q 89 703
q 999 629
u 224 841
u 891 322
q 876 190
m 315 112
q 221 992
q 206 890
m 220 37
q 66 575
q 325 408
u 500 763
u 439 547
u 579 806
q 60 658
u 912 336
u 693 241
q 678 178
q 844 522
m 213 705
q 155 610
q 25 457
m 662 397
m 859 506
q 979 828
q 945 249
u 660 383
m 359 217
u 609 326
m 789 643
u 453 338
q 352 506
q 51 401
q 604 732
q 491 314
m 469 353
u 141 84
q 942 95
q 796 253
q 434 92
q 744 960
q 839 313
m 372 568
q 393 578
q 630 99
q 159 537
q 939 844
m 486 972
u 699 961
m 46 26
u 513 551
q 140 454
u 74 853
u 845 704
u 963 175
u 756 466
q 666 725
u 463 181
u 88 664
u 564 74
u 172 276
m 350 702
q 860 742
m 964 336
u 923 977
u 35 6
u 312 478
q 964 68
q 696 766
q 668 397
u 149 463
m 986 137
u 424 19
u 401 357
u 828 718
q 960 973
m 124 449
m 689 450
m 939 982
m 403 987
u 915 252
q 255 693
q 261 717
m 263 478
q 55 296
u 922 509
u 663 651
q 446 589
q 906 349
m 849 649
u 843 238
q 512 5
q 676 677
m 325 461
u 363 816
m 389 288
u 484 210
q 176 880
m 451 274
q 222 768
m 983 838
m 403 823
q 531 281
u 338 999
m 537 835
q 253 672
m 913 334
q 197 463
q 629 305
q 967 342
q 311 99
q 979 970
u 716 166
q 36 493
q 814 441
u 434 741
q 39 888
u 437 523
q 126 326
u 615 861
u 442 263
m 194 34
q 161 107
m 808 534
q 511 846
u 229 53
u 692 756
q 679 44
u 602 937
q 88 597
m 729 536
u 238 257
q 263 905
m 358 432
q 795 648
u 654 314
q 510 42
u 470 350
u 831 132
u 746 934
q 319 79
q 540 920
q 332 640
u 34 115
u 823 268
m 801 639
u 471 533
m 938 687
q 174 97
u 787 254
m 342 612
u 625 912
u 516 471
u 367 28
q 966 933
q 374 521
u 79 675
u 73 577
q 283 693
u 373 530
u 282 64
u 134 979
u 372 925
m 920 146
q 540 819
q 641 716
u 849 775
u 433 516
q 267 534
m 377 948
m 594 276
u 157 963
u 349 486
u 939 141
q 349 736
q 875 428
u 490 505
q 668 584
q 996 894
m 722 159
u 953 111
m 254 874
m 865 768
u 145 609
m 772 570
m 531 939
m 383 774
u 776 721
u 593 368
m 743 157
u 742 920
q 348 541
u 791 77
u 623 357
q 618 702
u 921 344
m 762 255
m 24 936
m 152 931
q 1 267
m 237 610
u 818 948
u 231 210
m 337 997
q 507 27
q 106 656
u 264 696
u 379 680
m 824 137
q 78 978
m 713 553
q 423 130
u 146 509
m 3 573
m 484 423
u 810 964
q 398 154
m 3 227
q 422 548
m 769 995
u 417 905
u 130 862
m 47 528
m 720 57
u 918 868
m 207 878
m 214 509
q 588 975
q 21 906
q 471 143
q 574 768
m 304 209
u 511 587
u 836 970
m 33 866
m 627 598
u 868 674
q 884 326
u 654 348
m 734 675
u 518 824
q 54 738
u 779 856
q 147 987
q 109 344
q 455 88
u 978 612
q 290 533
m 847 350
m 954 560
q 153 1
q 374 802
u 99 745
u 766 703
m 330 418
m 405 114
m 473 463
u 385 396
m 468 288
u 693 58
q 689 296
u 730 198
q 412 849
m 963 724
u 742 500
m 307 460
q 3 368
m 125 971
m 750 383
m 525 434
q 398 7
q 56 105
m 911 547
q 502 612
u 788 769
q 164 871
q 872 876
u 684 921
m 192 572
u 683 473
q 859 519
m 45 862
u 747 163
q 530 699
m 859 93
q 215 725
m 989 593
q 199 948
m 351 548
u 121 17
q 256 617
q 113 862
u 242 325
q 909 936
q 953 258
u 333 255
q 5 193
u 108 693
m 291 944
m 805 791
u 203 405
m 505 136
q 818 949
m 372 751
u 808 389
u 674 836
q 674 854
m 53 50
